SYSTEM;RELEASE;CLASS;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC;key_class
lucene;6.2.0;org.apache.lucene.util.Bits$MatchNoBits;3.0;1.0;0.0;1.0;4.0;1.0;0.0;1.0;3.0;0.5;15.0;0.0;0.0;0.0;0.8333;0.0;0.0;3.6667;0.0
lucene;6.2.0;org.apache.lucene.util.Bits;3.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;2.0;1.0;8.0;0.0;1.0;0.0;0.75;0.0;0.0;1.3333;0.0
lucene;6.2.0;org.apache.lucene.util.BitSet;10.0;1.0;0.0;5.0;21.0;45.0;0.0;5.0;9.0;2.0;79.0;0.0;0.0;0.0;0.5667;0.0;0.0;6.9;0.0
lucene;6.2.0;org.apache.lucene.util.BitSetIterator;11.0;0.0;0.0;4.0;23.0;21.0;0.0;4.0;9.0;0.68;129.0;0.8;0.0;0.0;0.25;0.0;0.0;10.2727;0.0
lucene;6.2.0;org.apache.lucene.codecs.blocktree.BitSetPostingsEnum;11.0;0.0;0.0;5.0;18.0;33.0;0.0;5.0;9.0;0.7;74.0;1.0;0.0;0.0;0.3939;0.0;0.0;5.5455;0.0
lucene;6.2.0;org.apache.lucene.codecs.blocktree.BitSetTermsEnum;9.0;0.0;0.0;6.0;13.0;34.0;0.0;6.0;9.0;0.875;57.0;1.0;0.0;0.0;0.2593;0.0;0.0;5.2222;0.0
lucene;6.2.0;org.apache.lucene.index.BitsSlice;4.0;1.0;0.0;2.0;13.0;0.0;0.0;2.0;3.0;0.5;105.0;0.75;0.0;0.0;0.5;0.0;0.0;24.25;0.0
lucene;6.2.0;org.apache.lucene.util.BitUtil;16.0;1.0;0.0;0.0;18.0;108.0;0.0;0.0;14.0;0.8333;543.0;1.0;0.0;0.0;0.3333;0.0;0.0;32.8125;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDReader$IntersectState;1.0;1.0;0.0;2.0;2.0;0.0;0.0;2.0;1.0;2.0;27.0;0.0;0.0;0.0;1.0;0.0;0.0;21.0;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDReader$VerifyVisitor;4.0;1.0;0.0;4.0;17.0;4.0;0.0;4.0;4.0;0.8333;236.0;0.0;0.0;0.0;0.75;0.0;0.0;56.5;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDReader;26.0;1.0;0.0;11.0;54.0;79.0;0.0;11.0;14.0;0.7543;1044.0;0.2143;0.0;0.0;0.32;0.0;0.0;38.6154;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$1;4.0;1.0;0.0;4.0;7.0;4.0;0.0;4.0;3.0;0.8333;27.0;0.0;0.0;0.0;0.5;0.0;0.0;5.25;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$2;4.0;0.0;0.0;3.0;9.0;0.0;0.0;3.0;0.0;0.5;244.0;0.0;0.0;0.0;0.6667;0.0;0.0;59.0;0.0
lucene;6.2.0;org.apache.lucene.util.bkd.BKDWriter$3;2.0;0.0;0.0;3.0;3.0;0.0;0.0;3.0;0.0;0.5;27.0;0.0;0.0;0.0;0.75;0.0;0.0;11.5;0.0
